R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,11934423,0.058823529,11935193,0.029411765,11935193,0.029411765,11935193,0.029411765,0.029411765
2,11914735,0.029411765,11919753,0,11919753,0,11919753,0,0
3,12017522,0,12017522,0,12017522,0,12017522,0,0
4,11962560,0.058823529,11963434,0.029411765,11963434,0.029411765,11963434,0.029411765,0.029411765
5,11916471,0.029411765,11917857,0,11917857,0,11917857,0,0
6,11982151,0.029411765,11982323,0.058823529,11982323,0.058823529,11982323,0.058823529,0.058823529
7,11939096,0.029411765,11939096,0.029411765,11939096,0.029411765,11939096,0.029411765,0.029411765
8,11959857,0,11962369,0.029411765,11959857,0,11959857,0,0
9,11993198,0.029411765,11994170,0.058823529,11993582,0.029411765,11993582,0.029411765,0.029411765
10,11882308,0.029411765,11884972,0,11884972,0,11884972,0,0
11,11961092,0.029411765,11961092,0.029411765,11961092,0.029411765,11961092,0.029411765,0.029411765
12,11901890,0.029411765,11901890,0.029411765,11901890,0.029411765,11901890,0.029411765,0.029411765
13,11947776,0.029411765,11947854,0.058823529,11947854,0.058823529,11947854,0.058823529,0.058823529
14,11877220,0.058823529,11877504,0.029411765,11876222,0,11876222,0,0.029411765
15,11935031,0,11937675,0.029411765,11937675,0.029411765,11937675,0.029411765,0.029411765
16,11983406,0.029411765,11983504,0,11983504,0,11983504,0,0.029411765
17,11882607,0.058823529,11882607,0.058823529,11882607,0.058823529,11882607,0.058823529,0.029411765
18,11902913,0.029411765,11902913,0.029411765,11902913,0.029411765,11902913,0.029411765,0.029411765
19,11983425,0,11983425,0,11983425,0,11983425,0,0
20,11997549,0.029411765,11997935,0,11997935,0,11997935,0,0
